poll,peer,estimate,std_error,n,groups
Australia Republic Referendum,k1,-0.10259465973744204,0.10791917188160417,347,24
Australia Republic Referendum,female,0.07807738349453931,0.06133541618050148,347,24
Bulgarian National,k1,0.3367192410994954,0.2316247037597886,278,17
Bulgarian National,female,0.016798923943251123,0.10667867260877657,278,17
By the People 2004 US General Election,k1,-0.08822401686000117,0.1520060999337546,246,15
By the People 2004 US General Election,female,0.052651806677661894,0.0529513634391112,246,15
By the People 2004 US Presidential Primaries,k1,-0.22144856187742643,0.10323575848715276,217,16
By the People 2004 US Presidential Primaries,female,-0.03841490182591389,0.10022690087131197,217,16
By the People: Health and Education,k1,0.02479888282956897,0.1160157314185795,454,30
By the People: Health and Education,female,0.010540755914628584,0.05569479565340713,454,30
By the People: National,k1,0.6443788298061344,0.26676083353897434,245,15
By the People: National,female,-0.05500212137048101,0.11231505251287735,245,15
Central Power & Light,k1,0.3857908144473894,0.3018068038978241,216,16
Central Power & Light,female,0.01907396786582184,0.095343084388351,216,16
Europolis,k1,-0.2279933209155908,0.29756611430987456,348,25
Europolis,female,-0.16642573032383717,0.14906464839212202,348,25
"Marousi, Greece",k1,0.2589322719326483,0.11261368538035485,120,15
"Marousi, Greece",female,0.010454249336229165,0.0724475233490595,120,15
National Issues Convention,k1,-0.10915823029388999,0.2101928028567994,466,30
National Issues Convention,female,-0.06561184556931968,0.09439486406622759,460,30
National Issues Convention 2,k1,-0.2490830952410849,0.21855929246217845,340,24
National Issues Convention 2,female,0.15504353776476465,0.057423841701462634,340,24
"New Haven, CT",k1,0.2030484287510635,0.2837571799713613,132,16
"New Haven, CT",female,0.15358030767147987,0.0926669564330082,132,16
"San Mateo, CA",k1,-0.6779164306184945,0.23117591305155405,239,26
"San Mateo, CA",female,-0.010903192211876295,0.054474860003890666,239,26
Southwestern Electric Power,k1,0.444445453339951,0.30456576434583615,232,14
Southwestern Electric Power,female,-0.1431530962060264,0.12984979095609536,232,14
Tomorrow's Europe (EU),k1,-0.2424320851417197,0.20360331113527516,344,18
Tomorrow's Europe (EU),female,-0.03647492994907281,0.18825416574702572,344,18
UK Crime,k1,0.16333688260467769,0.23527577499974742,299,20
UK Crime,female,-0.04741818056204415,0.10189701118054285,299,20
UK EU,k1,-0.024832113753513095,0.29544767226234797,238,16
UK EU,female,0.02959760036426708,0.10323404222182887,238,16
UK General Election,k1,-0.08240902123808036,0.18887158561586678,275,15
UK General Election,female,0.2173169870078651,0.09831149452225162,275,15
UK Health,k1,0.6024919047747854,0.189634278867547,230,15
UK Health,female,-0.503767345697747,0.2516767669689651,230,15
UK Monarchy,k1,0.2443393439925495,0.15762046628563958,258,15
UK Monarchy,female,-0.02518788408968014,0.06620003119509578,258,15
West Texas Utilities,k1,-0.017452897761714693,0.1933100831554398,230,14
West Texas Utilities,female,0.3170789885345326,0.1417903355902733,230,14
Zeguo Township,k1,1.4769064271560512,0.3416540638101,233,16
Zeguo Township,female,-0.1715830457520856,0.18638099657221247,225,16
America in One Room 2019,k1,0.013669820566561906,0.13242033023047586,523,40
America in One Room 2019,female,0.018089457898397852,0.05033924209292239,523,40
