model,term,estimate,std_error,n,polls,groups,r2_marginal,r2_conditional
main,(Intercept),0.055364673391994246,0.04880511470107994,5830,22,412,0.3901873496998646,0.4397970405420675
main,k1,0.4718118194228719,0.02489223997862535,5830,22,412,0.3901873496998646,0.4397970405420675
main,educationHigh school,0.11910727084528405,0.01581454757589637,5830,22,412,0.3901873496998646,0.4397970405420675
main,educationBA or more,0.19107596725834503,0.01811098198241419,5830,22,412,0.3901873496998646,0.4397970405420675
main,age_decades,-0.003212519856749538,0.0017806875179850407,5830,22,412,0.3901873496998646,0.4397970405420675
main,extremity,-0.0696809403840959,0.029581202705458297,5830,22,412,0.3901873496998646,0.4397970405420675
main,group_size,2.7869052938040995e-4,0.0011899039537124389,5830,22,412,0.3901873496998646,0.4397970405420675
main,group_k1,0.0845795602167797,0.05118481297315092,5830,22,412,0.3901873496998646,0.4397970405420675
main,heterogeneity,0.006885979914109342,0.0847571332405741,5830,22,412,0.3901873496998646,0.4397970405420675
main,female,-0.024620706495939722,0.022895620985522856,5830,22,412,0.3901873496998646,0.4397970405420675
main,p_female,-0.008705498165105078,0.03463590607613073,5830,22,412,0.3901873496998646,0.4397970405420675
main,online,-0.09886051061644001,0.033233166359070296,5830,22,412,0.3901873496998646,0.4397970405420675
main,poll_k1,0.5215043749560859,0.10420888329708307,5830,22,412,0.3901873496998646,0.4397970405420675
main,k1:educationHigh school,-0.0425373875938353,0.02942011575257192,5830,22,412,0.3901873496998646,0.4397970405420675
main,k1:educationBA or more,-0.09147086819295226,0.03171938185519382,5830,22,412,0.3901873496998646,0.4397970405420675
main,female:p_female,0.032046238672605344,0.0441305871930537,5830,22,412,0.3901873496998646,0.4397970405420675
minority,(Intercept),0.08859884807108181,0.054192433473307565,5179,19,363,0.4127413237676382,0.4615119693703072
minority,k1,0.5086493485197513,0.027930560467414038,5179,19,363,0.4127413237676382,0.4615119693703072
minority,educationHigh school,0.12988683044872662,0.017357190408329618,5179,19,363,0.4127413237676382,0.4615119693703072
minority,educationBA or more,0.20912506613509768,0.019747262868692342,5179,19,363,0.4127413237676382,0.4615119693703072
minority,age_decades,-0.003440772180148165,0.0018324327898333946,5179,19,363,0.4127413237676382,0.4615119693703072
minority,extremity,-0.1020903180816512,0.03094527821761673,5179,19,363,0.4127413237676382,0.4615119693703072
minority,group_size,2.843532733063076e-4,0.0011900514803280195,5179,19,363,0.4127413237676382,0.4615119693703072
minority,group_k1,0.04665537263716613,0.052100580386445904,5179,19,363,0.4127413237676382,0.4615119693703072
minority,heterogeneity,0.0013965314745856122,0.08642387313511517,5179,19,363,0.4127413237676382,0.4615119693703072
minority,female,-0.04253078007102785,0.024323359749577438,5179,19,363,0.4127413237676382,0.4615119693703072
minority,p_female,-0.010164252165746753,0.03531834741793891,5179,19,363,0.4127413237676382,0.4615119693703072
minority,online,-0.09394682873975911,0.03374608212423584,5179,19,363,0.4127413237676382,0.4615119693703072
minority,poll_k1,0.5136817500046753,0.10697888779092579,5179,19,363,0.4127413237676382,0.4615119693703072
minority,minority,-0.030793092236167535,0.014861930451752877,5179,19,363,0.4127413237676382,0.4615119693703072
minority,p_minority,-0.03391553352573115,0.033988688556080525,5179,19,363,0.4127413237676382,0.4615119693703072
minority,k1:educationHigh school,-0.0811856404232314,0.03195152974561833,5179,19,363,0.4127413237676382,0.4615119693703072
minority,k1:educationBA or more,-0.13922094998200632,0.034234965501607754,5179,19,363,0.4127413237676382,0.4615119693703072
minority,female:p_female,0.06997843782701467,0.046142092868426736,5179,19,363,0.4127413237676382,0.4615119693703072
minority,minority:p_minority,-0.04689294221932723,0.050278031562072424,5179,19,363,0.4127413237676382,0.4615119693703072
items,(Intercept),0.07778427544005788,0.04907042293141647,5568,21,397,0.3695268844307441,0.41828771540588755
items,k1,0.4884019491522937,0.0277516617339879,5568,21,397,0.3695268844307441,0.41828771540588755
items,educationHigh school,0.12475512918184696,0.016535111865848953,5568,21,397,0.3695268844307441,0.41828771540588755
items,educationBA or more,0.19847679127350906,0.018989796038419382,5568,21,397,0.3695268844307441,0.41828771540588755
items,age_decades,-0.0035114942508902556,0.0018249069107722548,5568,21,397,0.3695268844307441,0.41828771540588755
items,extremity,-0.08637504267258297,0.030781485178035813,5568,21,397,0.3695268844307441,0.41828771540588755
items,group_size,3.5770084135835383e-4,0.0012308206272902034,5568,21,397,0.3695268844307441,0.41828771540588755
items,heterogeneity,-0.013752194862210328,0.08718232953929803,5568,21,397,0.3695268844307441,0.41828771540588755
items,female,-0.024195823219255355,0.023684203020349067,5568,21,397,0.3695268844307441,0.41828771540588755
items,p_female,-0.016606489135952425,0.03579710422339296,5568,21,397,0.3695268844307441,0.41828771540588755
items,online,-0.10877230249083952,0.03230684891081922,5568,21,397,0.3695268844307441,0.41828771540588755
items,poll_k1,0.5692414182289317,0.09312877959653224,5568,21,397,0.3695268844307441,0.41828771540588755
items,group_k1_items,0.008685343119165918,0.029113466350230068,5568,21,397,0.3695268844307441,0.41828771540588755
items,k1:educationHigh school,-0.05057268830170243,0.03201840349875219,5568,21,397,0.3695268844307441,0.41828771540588755
items,k1:educationBA or more,-0.10640736729322596,0.034631712498815664,5568,21,397,0.3695268844307441,0.41828771540588755
items,female:p_female,0.03416537024964393,0.045588879313946444,5568,21,397,0.3695268844307441,0.41828771540588755
briefing,(Intercept),0.5108459644264103,0.09478498736616768,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,k1,0.47707617153133197,0.12257478243277614,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,educationHigh school,0.06007165012936268,0.04714089792099196,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,educationBA or more,0.1383073157199353,0.04779100225754459,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,age_decades,-0.0051047371198817935,0.003728787698896007,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,extremity,-0.1382284991272682,0.05743754155743975,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,group_size,-0.005284458104408778,0.00339544131970054,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,group_k1,-0.23982985309504254,0.11388865370878594,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,heterogeneity,0.10501473987669546,0.1653335980215217,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,female,-0.0415840072646118,0.04710337441990576,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,p_female,-0.04302797894329552,0.06807610837182677,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,factor(pollid)92,-0.09887341271600367,0.023448578998614498,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,factor(pollid)96,-0.21959556587295462,0.04473065782804365,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,factor(pollid)1001,-0.08885513436186145,0.024389414769005944,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,read_briefing,0.067357324402731,0.015950587846849336,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,k1:educationHigh school,-0.05265603299596607,0.12929826745517947,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,k1:educationBA or more,-0.08303487160834762,0.12763492965864875,1291,4,98,0.27381453871942835,0.27381453871942835
briefing,female:p_female,0.06019775911484992,0.08816913386676,1291,4,98,0.27381453871942835,0.27381453871942835
